"Country/Region","Confirmed","Deaths","Recovered","Mortality_Rate"
"Yemen",67180,17707,23779,26.357546888955
"Belgium",6281116,963679,1627492,15.3424805400824
"United Kingdom",26748587,3997775,126217,14.9457427414764
"France",21210926,3048524,7182115,14.3724229672953
"Italy",26745145,3707717,15673910,13.8631403942659
"Hungary",396247,51053,204205,12.8841354003942
"Netherlands",5167516,622314,16967,12.0428074146263
"Mexico",14946202,1728277,11141225,11.5633188953287
"Spain",27404045,3033030,15093583,11.067818637723
"Bahamas",12100,1203,6047,9.94214876033058
"Sweden",4973160,448913,0,9.02671540831182
"Chad",64226,5523,48059,8.59932114719895
"Belize",2636,222,1618,8.42185128983308
"Canada",9356551,699566,0,7.47675078135095
"Ecuador",4678496,346618,1772210,7.40874845249413
"Antigua and Barbuda",4487,326,2600,7.26543347448184
"Guyana",19089,1346,8521,7.05118130860705
"Barbados",10652,738,7444,6.92827638002253
"San Marino",74949,5086,41810,6.78594777782225
"Algeria",1179755,77972,755897,6.60916885285504
"Liberia",51775,3341,23418,6.45292129406084
"Trinidad and Tobago",14967,949,10531,6.34061602191488
"Ireland",2571918,161948,1997530,6.2967792907861
"Slovenia",186132,11326,109805,6.08492897513593
"Sudan",586392,35415,240835,6.03947529979945
"Romania",2363132,140031,1409409,5.92565290470443
"Niger",102223,5948,79067,5.81865137982646
"Burkina Faso",96153,5583,74876,5.80637109606565
"Andorra",94404,5423,69074,5.7444599805093
"Switzerland",3696604,207858,2957883,5.62294473522184
"Mali",151494,8229,95287,5.4318982930017
"Indonesia",4057909,220272,1677484,5.42821438331909
"Greece",362615,19215,132346,5.29900859037823
"Iran",19339267,1024136,15200895,5.29562987056335
"US",224345948,11011411,56353416,4.90822816198133
"North Macedonia",440483,21235,214483,4.82084439127049
"China",14132002,672413,11466866,4.7580873537946
"Angola",22662,1078,6573,4.75686170682199
"Syria",20946,973,0,4.64527833476559
"Denmark",1305978,60602,1057021,4.64035381913018
"Egypt",4142819,186936,1197283,4.51228982004765
"Brazil",89524967,3938034,54492873,4.39881089260832
"Japan",1952495,85559,1307911,4.3820342689738
"Sierra Leone",95846,4186,58390,4.36742274064645
"Gambia",4845,209,2278,4.31372549019608
"Bulgaria",410722,17654,182621,4.29828448439577
"Poland",2755525,118018,1465856,4.28295878280908
"Finland",713167,30338,544492,4.25398258752859
"Tunisia",126590,5250,85410,4.14724701793191
"Germany",21059152,871322,17107839,4.13749803410888
"Bosnia and Herzegovina",396634,16373,207156,4.127987010695
"Tanzania",49327,1985,16729,4.02416526445963
"Iraq",3093628,121392,1790961,3.92393655604358
"Guatemala",1273708,49133,416757,3.85747753802284
"Portugal",3855363,146603,1809966,3.80257319479385
"Cuba",216346,8145,170780,3.76480267719301
"Philippines",2972611,110892,785042,3.73045783656186
"Lithuania",188762,7019,120592,3.71843909261398
"Bolivia",2170351,78032,571653,3.59536314632979
"Monaco",11993,425,8707,3.54373384474277
"Nicaragua",137545,4867,86849,3.53847831618743
"Austria",2034986,71390,1638380,3.50813224267882
"Croatia",299218,10372,213360,3.46636900186486
"Colombia",6893122,236525,2823811,3.43131892921669
"Somalia",206646,7006,59491,3.39033903390339
"Peru",19263916,652113,10862846,3.38515284223623
"Moldova",1156957,38196,652369,3.30141915386657
"Estonia",216505,6826,137224,3.15281402277084
"Honduras",1228583,37941,135380,3.08819184377449
"Mauritania",219095,6720,94938,3.06716264634063
"Mauritius",39448,1161,32602,2.94311498681809
"Czechia",1146758,33364,651140,2.90941942415052
"Albania",196702,5708,118877,2.9018515317587
"Togo",47390,1295,28330,2.73264401772526
"India",40883464,1111831,23783720,2.7195127105668
"Congo (Brazzaville)",101609,2696,29132,2.65330826993672
"Ukraine",3214085,85248,1387463,2.65232562300001
"Cameroon",844817,22354,588941,2.64601682968027
"Turkey",17903345,466056,13345389,2.60317834460544
"Uruguay",94742,2456,72759,2.59230330793101
"Libya",62321,1612,14199,2.58660804544215
"Congo (Kinshasa)",427604,10888,135073,2.54628113862359
"Norway",1008821,25664,544430,2.54395973121099
"Burma",25188,639,15476,2.53692234397332
"Afghanistan",1936390,49098,798240,2.53554294331204
"El Salvador",453036,11429,240972,2.52275757334958
"Kyrgyzstan",596200,14979,301587,2.51241194230124
"Dominican Republic",2495433,61786,1211513,2.47596308937166
"Nigeria",1634040,39416,600928,2.41218085236592
"Luxembourg",501355,11624,379664,2.31851681941937
"Kosovo",225972,5229,122234,2.31400350485901
"Morocco",1002746,23170,703960,2.31065494153056
"Kenya",464603,10463,161998,2.25203022795806
"Suriname",32247,721,17436,2.23586690234751
"Argentina",4450658,97749,1680024,2.19628198796672
"Panama",2378126,51756,1213644,2.17633548432673
"Comoros",15823,337,11473,2.12981103456993
"Lebanon",166607,3520,82508,2.11275636677931
"Serbia",1376322,28876,735730,2.09805554223503
"Latvia",118383,2458,74648,2.07631163258238
"Pakistan",12833994,264729,6936003,2.06271718687106
"Zambia",129421,2643,83611,2.04217244496643
"South Korea",1647537,33518,1246797,2.03443078971823
"Sao Tome and Principe",46884,950,15882,2.02627762136336
"Haiti",333181,6663,87298,1.99981391495914
"Chile",16935654,322480,13292593,1.90414849051593
"Montenegro",72422,1379,31486,1.90411753334622
"Cyprus",107176,1962,65254,1.83063372396805
"Malawi",89666,1640,26822,1.82900988111436
"Zimbabwe",50794,881,12207,1.73445682560932
"Thailand",366527,6289,312360,1.71583539548246
"Armenia",1587173,27089,857482,1.70674526343379
"Benin",64406,1095,25911,1.70015215973667
"South Sudan",118818,2006,23121,1.68829638606945
"Ethiopia",357928,5887,121793,1.64474419436311
"Jamaica",61392,1005,36003,1.63702111024238
"South Africa",11168743,181979,5836423,1.62935972293391
"Senegal",467457,7177,286778,1.5353283831454
"Slovakia",176429,2692,121950,1.52582625305364
"Taiwan*",55593,840,42184,1.51098159840268
"Georgia",85213,1266,60230,1.4856888033516
"Malaysia",876874,12971,703056,1.47923190789099
"Equatorial Guinea",153258,2246,35352,1.46550261650289
"Lesotho",6794,98,1318,1.44244921989991
"Russia",45408411,619385,25120448,1.36403143461682
"Bangladesh",8754729,115633,3714702,1.32080616087602
"Azerbaijan",1134717,14282,703402,1.25863981944397
"Brunei",18168,226,15262,1.24394539850286
"New Zealand",175979,2181,149560,1.23935242273226
"Eswatini",63160,763,30185,1.20804306523116
"Australia",960247,11387,711928,1.18584072639644
"Israel",2677930,31627,1521162,1.18102414924961
"Malta",67483,765,53260,1.13361883733681
"Liechtenstein",10351,116,9477,1.12066467008019
"Jordan",93144,1041,68045,1.11762432362793
"Paraguay",156373,1663,75800,1.06348282631912
"Guinea-Bissau",122994,1291,26036,1.04964469811536
"Cabo Verde",82732,854,38253,1.03224870666731
"Tajikistan",383026,3915,264000,1.02212382449233
"Central African Republic",198659,2010,43318,1.01178401179911
"Venezuela",412231,4101,151542,0.994830568297872
"Burundi",11351,106,7361,0.933838428332306
"Djibouti",336216,3011,255143,0.895555238299189
"Saudi Arabia",12362961,105150,8474107,0.850524401071879
"Madagascar",207296,1699,99424,0.81960095708552
"Botswana",15306,120,2291,0.784006272050176
"Cote d'Ivoire",611062,4717,309368,0.771934762757298
"Gabon",330678,2497,146671,0.755115248066095
"Kuwait",3120160,23084,2205347,0.739833854674119
"United Arab Emirates",3658838,25387,2402874,0.693854169001197
"Sri Lanka",166865,1105,109389,0.662211967758368
"Belarus",4426759,28391,2771925,0.641349574259633
"Mozambique",58006,361,0,0.62234941212978
"Kazakhstan",2430707,14621,1342402,0.60151223491766
"West Bank and Gaza",233461,1370,61124,0.586821781796531
"Costa Rica",347151,2037,116642,0.586776359566874
"Guinea",403605,2356,276575,0.583739051795691
"Ghana",1246644,6908,814529,0.554127722108316
"Iceland",221241,1141,190132,0.515727193422557
"Oman",2559773,11804,1439269,0.461134639673127
"Uzbekistan",678008,2938,423777,0.433328220315985
"Maldives",173602,705,106302,0.406101312196864
"Bahrain",1755206,5115,1334787,0.291418785031501
"Namibia",28836,72,2152,0.249687890137328
"Nepal",682623,1660,308056,0.243179617446233
"Rwanda",71242,169,36974,0.237219617641279
"Papua New Guinea",1185,2,695,0.168776371308017
"Qatar",6377607,7123,4676443,0.111687659650399
"Singapore",3502472,2441,2372884,0.0696936335251217
"Uganda",56688,6,39767,0.010584250635055
"Bhutan",4971,0,2838,0
"Cambodia",17079,0,13917,0
"Dominica",2059,0,1659,0
"Eritrea",11786,0,5724,0
"Fiji",2266,0,1568,0
"Greenland",1507,0,1372,0
"Grenada",2466,0,1848,0
"Holy See",1356,0,742,0
"Laos",2229,0,1540,0
"Mongolia",16999,0,9902,0
"Saint Kitts and Nevis",1772,0,1295,0
"Saint Lucia",2236,0,1860,0
"Saint Vincent and the Grenadines",2771,0,1995,0
"Seychelles",3977,0,1247,0
"Timor-Leste",2487,0,0,0
"Vietnam",40675,0,32838,0
