Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region,Death_Rate,Test_Rate,Cluster
USA,North America,331198130,5032179,0,162804,0,2576668,0,2292707,18296,15194,492,63139605,190640,Americas,3.2352585231964124,19.063998036462344,2
Brazil,South America,212710692,2917562,0,98644,0,2047660,0,771258,8318,13716,464,13206188,62085,Americas,3.3810421166713853,6.2085210084314895,2
India,Asia,1381344997,2025409,0,41638,0,1377384,0,606387,8944,1466,30,22149351,16035,South-EastAsia,2.055782313596908,1.6034626431560457,2
Russia,Europe,145940924,871894,0,14606,0,676357,0,180931,2300,5974,100,29716907,203623,Europe,1.675203637139377,20.3622850846141,2
South Africa,Africa,59381566,538184,0,9604,0,387316,0,141264,539,9063,162,3149807,53044,Africa,1.784519792487328,5.304351522154199,2
Mexico,North America,129066160,462690,6590,50517,819,308848,4140,103325,3987,3585,391,1056915,8189,Americas,10.918109317253451,0.8188939687986379,3
Peru,South America,33016319,455409,0,20424,0,310337,0,124648,1426,13793,619,2493429,75521,Americas,4.484759853230832,7.55211082131839,2
Chile,South America,19132514,366671,0,9889,0,340168,0,16614,1358,19165,517,1760615,92022,Americas,2.69696812674032,9.202214617483095,2
Colombia,South America,50936262,357710,0,11939,0,192355,0,153416,1493,7023,234,1801835,35374,Americas,3.3376198596628557,3.537430760034963,2
Spain,Europe,46756648,354530,0,28500,0,0,0,0,617,7582,610,7064329,151087,Europe,8.038811948213127,15.108715663278511,3
Iran,Asia,84097623,320117,0,17976,0,277463,0,24678,4156,3806,214,2612763,31068,EasternMediterranean,5.615446852244648,3.106821461529299,2
UK,Europe,67922029,308134,0,46413,0,0,0,0,73,4537,683,17515234,257873,Europe,15.06260263391901,25.787265571822065,3
Saudi Arabia,Asia,34865919,284226,0,3055,0,247089,0,34082,1915,8152,88,3635705,104277,EasternMediterranean,1.0748488878568463,10.427675805705851,2
Pakistan,Asia,221295851,281863,0,6035,0,256058,0,19770,809,1274,27,2058872,9304,EasternMediterranean,2.1411111071690856,0.930370809346986,2
Bangladesh,Asia,164851401,249651,0,3306,0,143824,0,102521,0,1514,20,1225124,7432,South-EastAsia,1.324248651116959,0.7431686916631057,2
Italy,Europe,60452568,249204,0,35187,0,201323,0,12694,42,4122,582,7099713,117443,Europe,14.119757307266337,11.744270317846548,3
Turkey,Asia,84428331,237265,0,5798,0,220546,0,10921,580,2810,69,5081802,60191,Europe,2.443681116051672,6.019071962940971,2
Argentina,South America,45236884,228195,0,4251,0,99852,0,124092,1150,5044,94,794544,17564,Americas,1.8628804312101492,1.75640744839985,2
Germany,Europe,83811260,215210,0,9252,0,196200,0,9758,236,2568,110,8586648,102452,Europe,4.299056735281818,10.245220033680438,2
France,Europe,65288306,195633,0,30312,0,82460,0,82861,384,2996,464,3992206,61147,Europe,15.494318443207431,6.114733624732123,3
Iraq,Asia,40306025,140603,0,5161,0,101025,0,34417,517,3488,128,1092741,27111,EasternMediterranean,3.670618692346536,2.7111108078754977,2
Philippines,Asia,109722719,119460,0,2150,0,66837,0,50473,239,1089,20,1669996,15220,WesternPacific,1.7997656119203085,1.5220147798196653,2
Indonesia,Asia,273808365,118753,0,5521,0,75645,0,37587,0,434,20,1633156,5965,South-EastAsia,4.649145705792695,0.5964594982333721,2
Canada,North America,37775022,118561,0,8966,0,103106,0,6489,2263,3139,237,4319172,114339,Americas,7.562351869501775,11.433936424974153,3
Qatar,Asia,2807805,112092,0,178,0,108831,0,3083,77,39922,63,511000,181993,EasternMediterranean,0.15879813010741178,18.199269536167932,2
Kazakhstan,Asia,18798667,95942,0,1058,0,68871,0,26013,221,5104,56,2163713,115099,Europe,1.1027495778699632,11.509927804987448,2
Egypt,Africa,102516525,95006,0,4951,0,48898,0,41157,41,927,48,135000,1317,EasternMediterranean,5.211249815801107,0.13168608670650905,2
Ecuador,South America,17668824,90537,0,5877,0,71318,0,13342,378,5124,333,258582,14635,Americas,6.4912687630471515,1.463492986290429,2
Bolivia,South America,11688459,86423,1282,3465,80,27373,936,55585,71,7394,296,183583,15706,Americas,4.00934936301679,1.5706347603221265,2
Sweden,Europe,10105596,81967,0,5766,0,0,0,0,38,8111,571,863315,85429,Europe,7.034538289799554,8.542939971081369,3
Oman,Asia,5118446,80713,0,492,0,70910,0,9311,177,15769,96,309212,60411,EasternMediterranean,0.6095672320444043,6.0411304524849925,2
Israel,Asia,9197590,79559,0,576,0,53427,0,25556,358,8650,63,1872453,203581,Europe,0.7239910003896479,20.3580829325943,2
Ukraine,Europe,43705858,76808,0,1819,0,42524,0,32465,158,1757,42,1116641,25549,Europe,2.3682428913654827,2.5549000776966784,2
Dominican Republic,North America,10858648,76536,0,1246,0,40539,0,34751,317,7048,115,281926,25963,Americas,1.6279920560259225,2.5963269092063763,2
Panama,North America,4321282,71418,0,1574,0,45658,0,24186,161,16527,364,240995,55769,Americas,2.203926181074799,5.576932956469863,2
Belgium,Europe,11594739,71158,0,9859,0,17661,0,43638,61,6137,850,1767120,152407,Europe,13.855083054610867,15.240705288838328,3
Kuwait,Asia,4276658,70045,0,469,0,61610,0,7966,127,16378,110,522200,122105,EasternMediterranean,0.6695695624241559,12.210469015759502,2
Belarus,Europe,9449001,68503,0,580,0,63756,0,4167,0,7250,61,1344303,142269,Europe,0.8466782476679853,14.22693256144221,2
UAE,Asia,9902079,61845,0,354,0,55739,0,5752,0,6246,36,5262658,531470,EasternMediterranean,0.57239873878244,53.14700074600496,1
Romania,Europe,19224023,57895,0,2566,0,28992,0,26337,458,3012,133,1319369,68631,Europe,4.4321616719924,6.8631264121979045,2
Netherlands,Europe,17138756,56982,0,6153,0,0,0,0,37,3325,359,1079860,63007,Europe,10.798146783194692,6.300690668564276,3
Singapore,Asia,5854932,54555,0,27,0,48031,0,6497,0,9318,5,1474372,251817,WesternPacific,0.04949133901567226,25.181710052311452,2
Guatemala,North America,17946899,54339,0,2119,0,42070,0,10150,5,3028,118,172712,9624,Americas,3.8995932939509377,0.962350097362224,2
Portugal,Europe,10193593,52061,0,1743,0,37840,0,12478,42,5107,171,1705474,167308,Europe,3.3479956205220796,16.730842598875586,2
Poland,Europe,37842302,49515,0,1774,0,35642,0,12099,72,1308,47,2374686,62752,Europe,3.582752701201656,6.275215498253779,2
Nigeria,Africa,206606300,45244,0,930,0,32430,0,11884,7,219,5,306894,1485,Africa,2.055521174078331,0.1485404849706906,2
Honduras,North America,9919704,45098,0,1423,0,6116,0,37559,52,4546,143,109292,11018,Americas,3.155350569870061,1.101766746265816,2
Bahrain,Asia,1706669,42889,0,156,0,39945,0,2788,41,25130,91,876700,513691,EasternMediterranean,0.36372962764345174,51.36907039384907,1
Japan,Asia,126435859,42263,0,1026,0,28877,0,12360,115,334,8,938739,7425,WesternPacific,2.427655395972837,0.7424626268406971,2
Armenia,Asia,2963811,39819,0,772,0,31556,0,7491,0,13435,260,171600,57898,Europe,1.938772947587835,5.789842874596254,2
Ghana,Africa,31133483,39642,0,199,0,36384,0,3059,7,1273,6,405817,13035,Africa,0.5019928358811362,1.3034744618840108,2
Kyrgyzstan,Asia,6534479,38659,0,1447,0,30099,0,7113,24,5916,221,267718,40970,Europe,3.7429835225949977,4.097006050520631,2
Afghanistan,Asia,39009447,36896,0,1298,0,25840,0,9758,31,946,33,90396,2317,EasternMediterranean,3.5179965307892456,0.23172848361577647,2
Switzerland,Europe,8660952,36108,0,1985,0,31600,0,2523,23,4169,229,822764,94997,Europe,5.497396698792512,9.499694721781164,2
Algeria,Africa,43926079,33626,0,1273,0,23238,0,9115,57,766,29,0,0,Africa,3.78576101825968,0,2
Azerbaijan,Asia,10148243,33247,0,479,0,29275,0,3493,66,3276,47,766179,75499,Europe,1.4407314945709386,7.5498684846233965,2
Morocco,Africa,36953359,29644,0,449,0,20553,0,8642,31,802,12,1383816,37448,EasternMediterranean,1.514640399406288,3.7447637710011694,2
Uzbekistan,Asia,33516027,28315,0,175,0,19291,0,8849,228,845,5,1377915,41112,Europe,0.6180469715698393,4.111212226914604,2
Serbia,Europe,8733665,27332,0,621,0,14047,0,12664,120,3129,71,723137,82799,Europe,2.2720620518074055,8.279880210656122,2
Moldova,Europe,4032983,26628,0,828,0,18676,0,7124,362,6603,205,128076,31757,Europe,3.1095087877422265,3.1757138574598507,2
Ireland,Europe,4943200,26372,0,1768,0,23364,0,1240,5,5335,358,652917,132084,Europe,6.704080084938571,13.208387279495064,3
Kenya,Africa,53881160,24411,0,399,0,10444,0,13568,44,453,7,335318,6223,Africa,1.6345090328130762,0.6223288436997273,2
Venezuela,South America,28427499,22299,0,195,0,12146,0,9958,42,784,7,1567431,55138,Americas,0.8744786761738195,5.5137843818058005,2
Nepal,Asia,29186486,21750,0,65,0,15389,0,6296,0,745,2,731977,25079,South-EastAsia,0.2988505747126437,2.507931239135811,2
Austria,Europe,9011577,21696,0,719,0,19596,0,1381,25,2408,80,937275,104008,Europe,3.313974926253687,10.40078778664378,2
Costa Rica,North America,5098730,21070,0,200,0,7038,0,13832,103,4132,39,96110,18850,Americas,0.94921689606075,1.88497920070292,2
Ethiopia,Africa,115223736,20900,0,365,0,9027,0,11508,185,181,3,468814,4069,Africa,1.7464114832535886,0.4068727644797075,2
Australia,Australia/Oceania,25528864,19890,0,255,0,10941,0,8694,52,779,10,4631419,181419,WesternPacific,1.282051282051282,18.141892251844812,2
El Salvador,North America,6489514,19126,0,513,0,9236,0,9377,509,2947,79,251271,38720,Americas,2.6822126947610583,3.871954047714514,2
Czechia,Europe,10711019,17731,0,390,0,12320,0,5021,17,1655,36,728670,68030,Europe,2.199537533134059,6.802994187574497,2
Cameroon,Africa,26606188,17718,0,391,0,15320,0,2007,30,666,15,149000,5600,Africa,2.2067953493622303,0.5600200975803072,2
Ivory Coast,Africa,26437950,16447,0,103,0,12484,0,3860,0,622,4,104584,3956,Africa,0.6262540280902292,0.39558286478338905,2
S. Korea,Asia,51273732,14519,20,303,1,13543,42,673,18,283,6,1613652,31471,WesternPacific,2.086920586817274,3.1471319466271734,2
Denmark,Europe,5794279,14306,0,617,0,12787,0,902,2,2469,106,1654512,285542,Europe,4.312875716482595,28.554234271425315,2
Palestine,Asia,5112340,13398,0,92,0,6907,0,6399,0,2621,18,200280,39176,EasternMediterranean,0.6866696521868936,3.917579816678859,2
Bosnia and Herzegovina,Europe,3278650,13396,0,384,0,7042,0,5970,0,4086,117,147021,44842,Europe,2.866527321588534,4.484193189269974,2
Bulgaria,Europe,6942854,13014,0,435,0,7374,0,5205,47,1874,63,294087,42358,Europe,3.342554172429691,4.235822905105019,2
Madagascar,Africa,27755708,12526,0,134,0,10148,0,2244,88,451,5,46301,1668,Africa,1.06977486827399,0.1668161374229762,2
Sudan,Africa,43943536,11780,0,763,0,6194,0,4823,0,268,17,401,9,EasternMediterranean,6.4770797962648565,9.12534667214764e-4,2
North Macedonia,Europe,2083365,11399,0,517,0,7480,0,3402,3,5471,248,109946,52773,Europe,4.535485568909554,5.277327784617674,2
Senegal,Africa,16783877,10715,0,223,0,7101,0,3391,33,638,13,114761,6838,Africa,2.0811945870275315,0.6837573940752784,2
Norway,Europe,5425471,9468,0,256,0,8857,0,355,3,1745,47,472841,87152,Europe,2.703844528939586,8.715206477004484,2
DRC,Africa,89802183,9309,0,215,0,8048,0,1046,0,104,2,0,0,Africa,2.309592867117843,0,2
Malaysia,Asia,32406372,9038,0,125,0,8713,0,200,2,279,4,991333,30591,WesternPacific,1.3830493472007082,3.0590681363529373,2
French Guiana,South America,299385,8127,0,47,0,7240,0,840,23,27146,157,41412,138324,0,0.5783191829703458,13.83235633047748,2
Gabon,Africa,2230563,7787,0,51,0,5609,0,2127,11,3491,23,85369,38272,Africa,0.6549377167073328,3.8272400286385095,2
Tajikistan,Asia,9557468,7665,0,62,0,6443,0,1160,0,802,6,0,0,Europe,0.8088714938030006,0,2
