ds,trend,additive_terms,additive_terms_lower,additive_terms_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,holidays,holidays_lower,holidays_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (Observed),Independence Day (Observed)_lower,Independence Day (Observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,Martin Luther King Jr. Day,Martin Luther King Jr. Day_lower,Martin Luther King Jr. Day_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_lower,yhat_upper,trend_lower,trend_upper,yhat
2020-01-22T00:00:00Z,-5998.226832542905,3550.626255496536,3550.626255496536,3550.626255496536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3550.626255496536,3550.626255496536,3550.626255496536,0,0,0,-17137.152679781368,11455.10665500778,-5998.226832542905,-5998.226832542905,-2447.600577046369
2020-01-23T00:00:00Z,-5651.607806051964,7696.001354123213,7696.001354123213,7696.001354123213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7696.001354123213,7696.001354123213,7696.001354123213,0,0,0,-12999.23723218014,17578.207819732692,-5651.607806051964,-5651.607806051964,2044.393548071249
2020-01-24T00:00:00Z,-5304.988779561024,8056.991472761624,8056.991472761624,8056.991472761624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8056.991472761624,8056.991472761624,8056.991472761624,0,0,0,-12169.003137677431,17232.241761937898,-5304.988779561024,-5304.988779561024,2752.0026932006003
2020-01-25T00:00:00Z,-4958.369753070082,2552.073411569505,2552.073411569505,2552.073411569505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2552.073411569505,2552.073411569505,2552.073411569505,0,0,0,-17020.030679357023,11601.337306732972,-4958.369753070082,-4958.369753070082,-2406.296341500577
2020-01-26T00:00:00Z,-4611.750726579142,-8144.074569281402,-8144.074569281402,-8144.074569281402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8144.074569281402,-8144.074569281402,-8144.074569281402,0,0,0,-27808.180019252224,2754.0842147486446,-4611.750726579142,-4611.750726579142,-12755.825295860544
2020-01-27T00:00:00Z,-4265.131700088201,-11624.10143428886,-11624.10143428886,-11624.10143428886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11624.10143428886,-11624.10143428886,-11624.10143428886,0,0,0,-31273.64972157833,-608.6641232936094,-4265.131700088201,-4265.131700088201,-15889.23313437706
2020-01-28T00:00:00Z,-3918.5126735972594,-2087.516490360739,-2087.516490360739,-2087.516490360739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2087.516490360739,-2087.516490360739,-2087.516490360739,0,0,0,-21383.928232084636,8448.8618989729,-3918.5126735972594,-3918.5126735972594,-6006.029163957999
2020-01-29T00:00:00Z,-3571.8936448132313,3550.626255501521,3550.626255501521,3550.626255501521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3550.626255501521,3550.626255501521,3550.626255501521,0,0,0,-14457.778236588389,14858.394994731181,-3571.8936448132313,-3571.8936448132313,-21.267389311710303
2020-01-30T00:00:00Z,-3225.274616029203,7696.001354127649,7696.001354127649,7696.001354127649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7696.001354127649,7696.001354127649,7696.001354127649,0,0,0,-11087.331559367454,19199.63952368025,-3225.274616029203,-3225.274616029203,4470.726738098447
2020-01-31T00:00:00Z,-2878.655587245175,8056.991472771569,8056.991472771569,8056.991472771569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8056.991472771569,8056.991472771569,8056.991472771569,0,0,0,-8978.805355558174,20091.503990926958,-2878.655587245175,-2878.655587245175,5178.335885526394
